sample	cluster
4672STDY8112878	12
4672STDY8112878	15
4672STDY8112878	18
4672STDY8112878	24
4672STDY8112878	29
4672STDY8112878	46
4672STDY8112879	0
4672STDY8112879	1
4672STDY8112879	7
4672STDY8112879	16
4672STDY8112879	22
4672STDY8112879	47
4672STDY8112880	7
4672STDY8112880	15
4672STDY8112880	20
4672STDY8112880	27
4672STDY8112880	29
4672STDY8112880	45
4672STDY8112881	1
4672STDY8112881	4
4672STDY8112881	11
4672STDY8112881	20
4672STDY8112882	0
4672STDY8112882	4
4672STDY8112882	13
4672STDY8112882	42
4672STDY8112883	1
4672STDY8112883	4
4672STDY8112883	7
4672STDY8112883	8
4672STDY8112883	9
4672STDY8112883	16
4672STDY8112883	30
4672STDY8112883	34
4672STDY8112884	23
4672STDY8112884	28
4672STDY8112884	30
4672STDY8112884	5
4672STDY8112884	31
4672STDY8112884	36
4672STDY8112884	41
4672STDY8112885	6
4672STDY8112885	7
4672STDY8112885	14
4672STDY8112885	16
4672STDY8112885	25
4672STDY8112885	32
4672STDY8112885	33
4672STDY8112885	38
4672STDY8112885	39
4672STDY8112885	50
4672STDY8112974	1
4672STDY8112974	3
4672STDY8112974	9
4672STDY8112974	14
4672STDY8112974	39
4672STDY8112974	43
4672STDY8112975	1
4672STDY8112975	4
4672STDY8112975	14
4672STDY8112975	28
4672STDY8112975	35
4672STDY8112976	1
4672STDY8112976	4
4672STDY8112976	5
4672STDY8112976	6
4672STDY8112976	18
4672STDY8112976	19
4672STDY8112976	38
4672STDY8112976	43
4672STDY8112977	0
4672STDY8112977	1
4672STDY8112977	4
4672STDY8112977	5
4672STDY8112977	6
4672STDY8112977	29
4672STDY8112977	36
4672STDY8112977	39
4672STDY8112977	40
4672STDY8112977	43
4672STDY8113070	0
4672STDY8113070	1
4672STDY8113070	3
4672STDY8113070	10
4672STDY8113070	34
4672STDY8113070	36
4672STDY8113070	38
4672STDY8113070	39
4672STDY8113070	42
4672STDY8112979	1
4672STDY8112979	4
4672STDY8112979	7
4672STDY8112979	25
4672STDY8112979	27
4672STDY8112979	40
4672STDY8112979	42
4672STDY8112979	45
4672STDY8112979	48
4672STDY8112980	2
4672STDY8112980	6
4672STDY8112980	12
4672STDY8112980	14
4672STDY8112980	39
4672STDY8112980	43
4672STDY8112981	4
4672STDY8112981	9
4672STDY8112981	16
4672STDY8112981	20
4672STDY8112981	23
4672STDY8112981	24
4672STDY8112981	30
4672STDY8112981	29
