sample_id,transcriptome,Estimated Number of Cells,Mean Reads per Cell,Median Genes per Cell,Number of Reads,Valid Barcodes,Sequencing Saturation,Q30 Bases in Barcode,Q30 Bases in RNA Read,Q30 Bases in Sample Index,Q30 Bases in UMI,Reads Mapped to Genome,Reads Mapped Confidently to Genome,Reads Mapped Confidently to Intergenic Regions,Reads Mapped Confidently to Intronic Regions,Reads Mapped Confidently to Exonic Regions,Reads Mapped Confidently to Transcriptome,Reads Mapped Antisense to Gene,Fraction Reads in Cells,Total Genes Detected,Median UMI Counts per Cell
4672STDY6814755,mm10-3_0_0,"4,723","78,133",670,"369,025,983",98.4%,95.6%,98.2%,81.6%,91.5%,98.3%,90.8%,84.0%,2.7%,8.2%,73.1%,69.7%,2.1%,79.9%,"15,684","1,342"
4672STDY6814756,mm10-3_0_0,"2,308","163,112",658,"376,464,420",98.4%,97.4%,98.6%,83.7%,91.1%,98.7%,91.3%,82.9%,3.1%,7.7%,72.1%,68.8%,2.1%,79.9%,"14,682","1,330"
4672STDY6814755,mm10-3_0_0,"4,723","78,133",670,"369,025,983",98.4%,95.6%,98.2%,81.6%,91.5%,98.3%,90.8%,84.0%,2.7%,8.2%,73.1%,69.7%,2.1%,79.9%,"15,684","1,342"
4672STDY6814756,mm10-3_0_0,"2,308","163,112",658,"376,464,420",98.4%,97.4%,98.6%,83.7%,91.1%,98.7%,91.3%,82.9%,3.1%,7.7%,72.1%,68.8%,2.1%,79.9%,"14,682","1,330"
4672STDY7140017,mm10-1_2_0,"2,436","155,579","1,084","378,990,816",98.6%,90.0%,98.1%,84.4%,95.9%,98.0%,94.6%,88.6%,4.6%,7.5%,76.5%,74.3%,0.8%,90.5%,"16,191","4,042"
4672STDY7140017,mm10-3_0_0,"2,432","155,835","1,097","378,990,816",98.6%,90.1%,98.1%,84.4%,95.9%,98.0%,94.6%,89.1%,4.4%,7.4%,77.3%,74.9%,0.8%,90.5%,"16,800","4,056"
4672STDY7140018,mm10-1_2_0,"2,536","150,514","1,121","381,705,738",98.6%,91.0%,98.2%,84.0%,96.3%,98.1%,94.9%,88.2%,5.1%,7.2%,75.9%,73.7%,0.8%,87.5%,"16,189","4,149"
4672STDY7140018,mm10-3_0_0,"2,534","150,633","1,133","381,705,738",98.6%,91.0%,98.2%,84.0%,96.3%,98.1%,94.9%,88.6%,5.0%,7.0%,76.6%,74.3%,0.8%,87.5%,"16,754","4,165"
4672STDY7140019,mm10-1_2_0,"2,894","131,795","1,120","381,415,556",98.5%,89.3%,98.2%,84.7%,96.0%,98.1%,95.0%,88.6%,3.8%,8.0%,76.8%,74.5%,1.0%,92.0%,"16,030","4,240"
4672STDY7140019,mm10-3_0_0,"2,896","131,704","1,129","381,415,556",98.5%,89.4%,98.2%,84.7%,96.0%,98.1%,95.0%,89.0%,3.6%,7.8%,77.6%,75.1%,1.0%,92.0%,"16,619","4,254"
