"sample_id"	"transcriptome"	"cellranger_versiom"	"Estimated_Number_of_Cells"	"Mean_Reads_per_Cell"	"Median_Genes_per_Cell"	"Number_of_Reads"	"Valid_Barcodes"	"Sequencing_Saturation"	"Q30_Bases_in_Barcode"	"Q30_Bases_in_RNA_Read"	"Q30_Bases_in_Sample_Index"	"Q30_Bases_in_UMI"	"Reads_Mapped_to_Genome"	"Reads_Mapped_Confidently_to_Genome"	"Reads_Mapped_Confidently_to_Intergenic_Regions"	"Reads_Mapped_Confidently_to_Intronic_Regions"	"Reads_Mapped_Confidently_to_Exonic_Regions"	"Reads_Mapped_Confidently_to_Transcriptome"	"Reads_Mapped_Antisense_to_Gene"	"Fraction_Reads_in_Cells"	"Total_Genes_Detected"	"Median_UMI_Counts_per_Cell"	"experiment"	"treatment"	"mouse_id"	"time"	"meta"
"4672STDY6814755"	"mm10"	"1.3.1"	4632	79620	730	368804456	98.4	95.8	98.2	81.6	91.5	98.3	NA	NA	2.8	8.2	72.1	68.6	NA	79.4	15527	1458	1	"control"	"mouse_1"	"24hpi"	NA
"4672STDY6814756"	"mm10"	"1.3.1"	2269	165883	790	376389244	98.4	97.7	98.6	83.7	91.1	98.7	NA	NA	3.1	7.7	71.1	67.7	NA	79.5	15183	1600	1	"infected"	"mouse_2"	"24hpi"	NA
"4672STDY7140017"	"mm10"	"1.3.1"	1061	357120	2617	378905345	98.6	90.8	98.1	84.4	95.9	98	NA	NA	4.5	7.4	76.7	74.3	NA	74.6	16122	11216	2	"control"	"mouse_3"	"24hpi"	NA
"4672STDY7140017"	"mm10-1_2_0"	"3.0.2"	2436	155579	1084	378990816	98.6	90	98.1	84.4	95.9	98	94.6	88.6	4.6	7.5	76.5	74.3	0.8	90.5	16191	4042	2	"control"	"mouse_3"	"24hpi"	NA
"4672STDY7140018"	"mm10-1_2_0"	"3.0.2"	2536	150514	1121	381705738	98.6	91	98.2	84	96.3	98.1	94.9	88.2	5.1	7.2	75.9	73.7	0.8	87.5	16189	4149	2	"control"	"mouse_4"	"24hpi"	NA
"4672STDY7140018"	"mm10"	"1.3.1"	1252	304633	1820	381401272	98.5	91.7	98.2	84.1	96.3	98.1	NA	NA	5.1	7	76.1	73.7	NA	71.8	16091	7697	2	"control"	"mouse_4"	"24hpi"	NA
"4672STDY7140019"	"mm10"	"1.3.1"	1504	253434	2382	381164850	98.5	90.1	98.2	84.7	96	98.1	NA	NA	3.7	7.8	77	74.5	NA	79.2	15989	9614	2	"infected"	"mouse_5"	"24hpi"	NA
"4672STDY7140019"	"mm10-1_2_0"	"3.0.2"	2894	131795	1120	381415556	98.5	89.3	98.2	84.7	96	98.1	95	88.6	3.8	8	76.8	74.5	1	92	16030	4240	2	"infected"	"mouse_5"	"24hpi"	NA
"4672STDY7140020"	"mm10-1_2_0"	"3.0.2"	1613	240418	1181	387795716	98.6	92.3	98.3	86.7	96.5	98.2	95.4	89.4	4.6	7.5	77.3	75.3	0.7	87.1	15740	4603	2	"infected"	"mouse_6"	"24hpi"	NA
"4672STDY7140020"	"mm10"	"1.3.1"	813	476500	2210	387395022	98.6	93.3	98.3	86.7	96.5	98.2	NA	NA	4.5	7.3	77.6	75.3	NA	73.4	15730	9527	2	"infected"	"mouse_6"	"24hpi"	NA
