sample_id	transcriptome	cellranger_versiom	Estimated_Number_of_Cells	Mean_Reads_per_Cell	Median_Genes_per_Cell	Number_of_Reads	Valid_Barcodes	Sequencing_Saturation	Q30_Bases_in_Barcode	Q30_Bases_in_RNA_Read	Q30_Bases_in_Sample_Index	Q30_Bases_in_UMI	Reads_Mapped_to_Genome	Reads_Mapped_Confidently_to_Genome	Reads_Mapped_Confidently_to_Intergenic_Regions	Reads_Mapped_Confidently_to_Intronic_Regions	Reads_Mapped_Confidently_to_Exonic_Regions	Reads_Mapped_Confidently_to_Transcriptome	Reads_Mapped_Antisense_to_Gene	Fraction_Reads_in_Cells	Total_Genes_Detected	Median_UMI_Counts_per_Cell
4672STDY7631188	mm10	2.1.1	1976	184373	1108	364322234	98.30	95.10	97.60	76.40	94.40	97.90	92.00	83.80	3.70	5.10	75.10	72.70	0.90	73.70	15863	3316
4672STDY7631189	mm10	2.1.1	1541	234379	2233	361178184	98.30	92.00	97.50	74.80	92.10	97.80	90.30	84.10	3.30	7.40	73.40	71.00	0.90	73.40	16398	7927
4672STDY7631190	mm10	2.1.1	2237	162316	1070	363102881	98.30	94.40	97.50	77.00	93.20	97.90	92.00	84.10	3.60	5.60	75.00	72.50	1.00	73.30	16363	3184
4672STDY7631191	mm10	2.1.1	2029	167934	971	340738553	97.60	94.40	97.60	75.30	93.10	97.80	88.50	80.50	4.20	5.40	70.90	68.40	1.00	66.50	16273	2744
4672STDY7631192	mm10	2.1.1	2315	142799	1569	330581068	98.20	91.50	97.30	73.80	92.50	97.40	87.90	81.70	3.30	6.20	72.30	70.00	0.90	76.70	16103	5066
4672STDY7631193	mm10	2.1.1	2526	139389	1424	352098869	98.10	92.70	97.80	78.10	94.30	98.00	90.00	82.30	3.60	6.70	72.00	69.50	1.10	71.00	16126	4101
4672STDY7623907	mm10	2.1.1	1098	329975	3445	362313286	98.70	86.90	97.90	73.50	94.50	98.00	89.90	83.50	4.10	7.20	72.20	70.10	0.70	65.20	16321	15969
4672STDY7623908	mm10	2.1.1	957	786915	3779	753078127	98.60	93.80	98.20	83.40	95.50	98.30	93.40	86.90	4.30	7.30	75.40	73.20	0.70	66.80	16615	19145
4672STDY7623909	mm10	2.1.1	2863	135545	995	388066314	98.70	93.80	98.40	85.10	96.50	98.50	94.80	85.40	5.40	3.90	76.10	74.40	0.50	79.40	14987	3404
4672STDY7623910	mm10	2.1.1	2499	162727	1261	406656601	98.60	92.20	98.70	84.90	97.30	98.80	95.20	86.00	5.80	4.50	75.60	73.70	0.50	70.90	15320	4388
4672STDY7623911	mm10	2.1.1	1123	354819	3378	398462469	98.60	88.90	98.60	84.50	96.50	98.70	94.40	87.90	4.30	7.40	76.20	74.10	0.70	70.30	16322	16554
4672STDY7623912	mm10	2.1.1	1074	724849	3639	778488896	98.60	93.60	98.30	84.60	96.50	98.50	94.30	88.00	4.30	7.40	76.20	74.20	0.70	69.30	16594	18325
4672STDY7623913	mm10	2.1.1	877	444363	2544	389706966	98.70	92.70	98.50	85.20	96.50	98.60	94.50	86.70	5.60	6.20	74.80	72.80	0.60	59.00	15479	10742
4672STDY7623914	mm10	2.1.1	2179	179941	2183	392092718	98.70	87.10	98.40	86.10	96.40	98.60	95.00	87.00	3.80	6.10	77.10	75.00	0.70	67.70	16212	8588
4672STDY7140017	mm10-1_2_0	3.0.2	2436	155579	1084	378990816	98.60	90.00	98.10	84.40	95.90	98.00	94.60	88.60	4.60	7.50	76.50	74.30	0.80	90.50	16191	4042
4672STDY7140018	mm10-1_2_0	3.0.2	2536	150514	1121	381705738	98.60	91.00	98.20	84.00	96.30	98.10	94.90	88.20	5.10	7.20	75.90	73.70	0.80	87.50	16189	4149
4672STDY7140019	mm10-1_2_0	3.0.2	2894	131795	1120	381415556	98.50	89.30	98.20	84.70	96.00	98.10	95.00	88.60	3.80	8.00	76.80	74.50	1.00	92.00	16030	4240
4672STDY7140020	mm10-1_2_0	3.0.2	1613	240418	1181	387795716	98.60	92.30	98.30	86.70	96.50	98.20	95.40	89.40	4.60	7.50	77.30	75.30	0.70	87.10	15740	4603
4672STDY7631188	mm10-1_2_0	3.0.2	2815	129421	816	364322234	98.30	94.60	97.60	76.40	94.40	97.90	92.00	83.80	3.70	5.10	75.10	72.70	0.90	80.60	15329	2285
4672STDY7631189	mm10-1_2_0	3.0.2	3876	93183	713	361178184	98.40	91.40	97.50	74.80	92.10	97.80	90.30	84.10	3.30	7.40	73.40	71.00	0.90	87.90	16362	1815
4672STDY7631190	mm10-1_2_0	3.0.2	3262	111312	757	363102881	98.30	93.90	97.50	77.00	93.20	97.90	92.00	84.10	3.60	5.60	75.00	72.50	1.00	81.00	15628	2132
4672STDY7631191	mm10-1_2_0	3.0.2	2654	128386	755	340738553	97.70	94.00	97.60	75.30	93.10	97.80	88.50	80.50	4.20	5.40	70.90	68.40	1.00	71.50	15391	2103
4672STDY7631192	mm10-1_2_0	3.0.2	3227	102442	1088	330581068	98.20	91.10	97.30	73.80	92.50	97.40	87.90	81.70	3.30	6.20	72.30	70.00	0.90	82.50	15721	3202
4672STDY7631193	mm10-1_2_0	3.0.2	4540	77554	696	352098869	98.20	92.30	97.80	78.10	94.30	98.00	90.00	82.30	3.60	6.70	72.00	69.50	1.10	82.00	15905	1735
4672STDY7623907	mm10-1_2_0	3.0.2	4581	79090	655	362313286	98.70	86.10	97.90	73.50	94.50	98.00	89.90	83.50	4.10	7.20	72.20	70.10	0.70	85.10	16698	2029
4672STDY7623908	mm10-1_2_0	3.0.2	3859	195148	759	753078127	98.60	92.80	98.20	83.40	95.50	98.30	93.40	86.90	4.30	7.30	75.40	73.20	0.70	85.90	16950	2429
4672STDY7623909	mm10-1_2_0	3.0.2	3216	120667	888	388066314	98.80	93.30	98.40	85.10	96.50	98.50	94.80	85.40	5.40	3.90	76.10	74.40	0.50	82.00	14707	3013
4672STDY7623910	mm10-1_2_0	3.0.2	3919	103765	937	406656601	98.70	91.80	98.70	84.90	97.30	98.80	95.20	86.00	5.80	4.50	75.60	73.70	0.50	81.30	15309	3088
4672STDY7623911	mm10-1_2_0	3.0.2	4080	97662	781	398462469	98.70	88.00	98.60	84.50	96.50	98.70	94.40	87.90	4.30	7.40	76.20	74.10	0.70	89.30	16738	2476
4672STDY7623912	mm10-1_2_0	3.0.2	4090	190339	842	778488896	98.60	92.60	98.30	84.60	96.50	98.50	94.30	88.00	4.30	7.40	76.20	74.20	0.70	88.80	16858	2615
4672STDY7623913	mm10-1_2_0	3.0.2	2205	176737	806	389706966	98.70	92.00	98.50	85.20	96.50	98.60	94.50	86.70	5.60	6.20	74.80	72.80	0.60	70.20	15770	2463
