sample_id	transcriptome	cellranger_versiom	Estimated_Number_of_Cells	Mean_Reads_per_Cell	Median_Genes_per_Cell	Number_of_Reads	Valid_Barcodes	Sequencing_Saturation	Q30_Bases_in_Barcode	Q30_Bases_in_RNA_Read	Q30_Bases_in_Sample_Index	Q30_Bases_in_UMI	Reads_Mapped_to_Genome	Reads_Mapped_Confidently_to_Genome	Reads_Mapped_Confidently_to_Intergenic_Regions	Reads_Mapped_Confidently_to_Intronic_Regions	Reads_Mapped_Confidently_to_Exonic_Regions	Reads_Mapped_Confidently_to_Transcriptome	Reads_Mapped_Antisense_to_Gene	Fraction_Reads_in_Cells	Total_Genes_Detected	Median_UMI_Counts_per_Cell
4672STDY6814755	mm10	1.3.1	4632	79620	730	368804456	98.4	95.8	98.2	81.6	91.5	98.3	NA	NA	2.8	8.2	72.1	68.6	NA	79.4	15527	1458
4672STDY6814756	mm10	1.3.1	2269	165883	790	376389244	98.4	97.7	98.6	83.7	91.1	98.7	NA	NA	3.1	7.7	71.1	67.7	NA	79.5	15183	1600
4672STDY7140017	mm10	1.3.1	1061	357120	2617	378905345	98.6	90.8	98.1	84.4	95.9	98	NA	NA	4.5	7.4	76.7	74.3	NA	74.6	16122	11216
4672STDY7140018	mm10	1.3.1	1252	304633	1820	381401272	98.5	91.7	98.2	84.1	96.3	98.1	NA	NA	5.1	7	76.1	73.7	NA	71.8	16091	7697
4672STDY7140019	mm10	1.3.1	1504	253434	2382	381164850	98.5	90.1	98.2	84.7	96	98.1	NA	NA	3.7	7.8	77	74.5	NA	79.2	15989	9614
4672STDY7140020	mm10	1.3.1	813	476500	2210	387395022	98.6	93.3	98.3	86.7	96.5	98.2	NA	NA	4.5	7.3	77.6	75.3	NA	73.4	15730	9527
4672STDY7631188	mm10	2.1.1	1976	184373	1108	364322234	98.3	95.1	97.6	76.4	94.4	97.9	92	83.8	3.7	5.1	75.1	72.7	0.9	73.7	15863	3316
4672STDY7631189	mm10	2.1.1	1541	234379	2233	361178184	98.3	92	97.5	74.8	92.1	97.8	90.3	84.1	3.3	7.4	73.4	71	0.9	73.4	16398	7927
4672STDY7631190	mm10	2.1.1	2237	162316	1070	363102881	98.3	94.4	97.5	77	93.2	97.9	92	84.1	3.6	5.6	75	72.5	1	73.3	16363	3184
4672STDY7631191	mm10	2.1.1	2029	167934	971	340738553	97.6	94.4	97.6	75.3	93.1	97.8	88.5	80.5	4.2	5.4	70.9	68.4	1	66.5	16273	2744
4672STDY7631192	mm10	2.1.1	2315	142799	1569	330581068	98.2	91.5	97.3	73.8	92.5	97.4	87.9	81.7	3.3	6.2	72.3	70	0.9	76.7	16103	5066
4672STDY7631193	mm10	2.1.1	2526	139389	1424	352098869	98.1	92.7	97.8	78.1	94.3	98	90	82.3	3.6	6.7	72	69.5	1.1	71	16126	4101
